'umra	umrah
scorn	menista
scorpion	kalajengking
scorpion kick	kalajengking
scot-free	bebas pajak
scotoma	bintik buta | skotoma
scoundrel	bajingan | bangsat
scour	mencuci
scourge	wabah
scouring powder	abu gosok
scout	pramuka
scouting	kepanduan
scowl	mengernyitkan
scrap	akhir
scrape	kikis | mengikis
scraps	bekas
scratch	garuk
scratchpad	bloknot
scream	bentakan
screech	mengerik
screed	novena
screen	layar | menayangkan
screen printing	cetak saring | sablon
screening	penapisan | skrining | nobar
screenplay	cerita film | naskah film
screenshot	cuplikan layar
screw	sekrup | sipir
screw pine	pandan
screw thread	drat
screw you	ngentot lu
screwball	digeser
screwdriver	obeng | drai | miras vodka jeruk | screwdriver
screwed	karatan
scribble	oles
scribe	penulis
script	skenario
scriptio continua	aksara sinambung
scriptorium	skriptorium
scripture	kitab | kitab suci
scrivener	penulis
scroll	gulungan
scroll bar	lift
scroll wheel	gulungan
scrotum	skrotum | kantong pelir
scrounge	memanfaatkan
scrounger	benalu
scrub	batalkan
scruff	kuduk
scrumptious	enak
scrutinize	memereteli
scrutiny	pencermatan
scry	lihat
scuffle	kericuhan
sculpt	suku
sculptor	pemahat | pematung | pengukir
sculpture	pahatan | patung | seni pahat
scum	buih
scumbag	bajingan
scut	bunga
scutch	ayun
scuttle	ember
scythe	salah
sea	laut
sea bass	serigala
sea breeze	angin laut
sea cucumber	teripang
sea hibiscus	baru | waru
sea horse	kuda laut
sea monster	monster laut
sea oats	laba-laba
sea otter	berang-berang laut
sea salt	garam | garam laut
sea spider	laba-laba laut
sea turtle	penyu
sea urchin	landak laut | bulu babi
seabed	dasar laut
seabird	burung laut
seaborgium	seaborgium
seadog	pelaut kawakan
seafloor	dasar laut
seafood	boga bahari | makanan laut
seagrass	lamun
seal	anjing laut | lambang | tutup | segel
seam	buku jari
seamanship	belayar
sear	apal
search	mencari | geledah
search engine	mesin pencari | mesin penelusur
search warrant	surat izin penggeledahan
seascape	angkatan laut
seashell	kerang laut | lokan
seaside	pantai
season	musim | musim tayang | bumbu
season ticket	abonemen
seasonal	musiman
seasonality	musiman
seasoning	bumbu | pengeringan
seat	kursi
seat belt	sabuk pengaman
seawater	air laut
seaweed	rumput laut
secession	pemisahan diri
secluded	asing
seclusion	seklusi
second	kedua | detik | sekon
second hand	jarum detik
second language	bahasa kedua
second-growth forest	hutan sekunder
second-hand smoke	asap rokok orang lain
secondary	sekunder
secondary colour	warna turunan
secondary legislation	aturan turunan | peraturan turunan
secondary school	sekolah lanjutan | sekolah menengah
secondhand	bekas
secondly	kedua
secrecy	kerahasiaan
secret	rahasia | sir
secret agent	agen
secretariat	sekretariat
secretary	sekretaris | katib | menteri
secretary bird	burung sekretaris
secrete	menyembunyikan
secretion	sekret | sekresi
sect	sekte | mazhab
section	seksi
section sign	bab
sector	sektor
secular	sekuler | sekulir
secularism	sekularisme, paham sekuler
secularist	sekularis
secularization	sekularisasi
secure	mengamankan
securely	aman
security	keamanan | keselamatan | jaminan | sekuritas
security guard	satpam | penjaga keamanan
sedan	sedan
sedan chair	tandu
sedative	obat penenang
sedentary	sambil duduk | sedenter
sediment	sedimen
sedimentary rock	batuan endapan | batuan sedimen
sedimentation	sedimentasi
sedition	dahagi
sednoid	sednoid
sedulous	gayal
see	pandang | saksi | tonton | melihat
see off	antar
see through	hadir
see you	sampai jumpa
see you later	sampai jumpa | sampai nanti
see you soon	sampai jumpa | sampai jumpa lagi | sampai jumpa segera
seed	biji
seedling	benih
seedy	buruk
seek	cari
seel	mata
seemly	cocok
seep	ladang
seer	saksi
seesaw	ayun
seethe	merebus
segment	ruas garis
segregation	segregasi
segue	peralihan
seine	pukat
seisin	cuaca
seism	gempa bumi
seismic wave	gelombang seismik
seismograph	seismograf
seismologist	seismolog | seismologiwan
seismology	seismologi
seismometer	seismograf
seize	beslah
seizure	penyitaan | kejang | kejang-kejang
selcouth	ajaib
seldom	jarang
select	memilih | pilih | tertentu | pilihan
selection	pemilihan
selenography	selenografi
self	sendiri
self-	swa-
self-adhesive	stiker
self-assessment	penilaian diri | penilaian mandiri | penilaian sendiri | swanilai | swataksir
self-aware	awas diri | sadar diri
self-care	perawatan diri
self-conceit	keswasembadaan
self-defense	pembelaan terpaksa
self-destruction	destruksi diri
self-explanatory	gamblang
self-hatred	kebencian diri
self-important	berlaku
self-isolation	isolasi mandiri
self-made	swausaha | usaha diri | buatan sendiri | swabuat | swayasa
self-medication	swamedikasi
self-opinionated	keras
self-raising flour	tepung swakembang | tepung swamuai
self-reliance	keswasembadaan
self-service	swalayan
self-sufficiency	swa sembada
self-sufficient	mandiri
selfie	berswafoto | foto narsisis | swafoto
selfie stick	tongkat narsis | tongsis
selfish	egoistis
selfsame	serupa
sell	jual | menjual
seller	penjual
selvage	kota
semantic	semantis
semantics	semantik
semaphore	lampu lalu lintas
semblance	kemiripan
semen	air mani | sperma | semen
semester	semester
semiconductor	semikonduktor
semifinal	semi final
seminal	pendiri
seminal vesicle	vesikula seminalis
seminar	seminari
seminarist	seminaris
seminary	seminari
semiology	semiotika
semiotics	semiotika
semiskilled	setengah ahli
sempiternal	abadi
senate	senat
senator	senator
send	kirim | mengirim
send off	mendeportasi
send out	mengirim
sending off	deportasi
senescence	senesens
sengi	celurut gajah | celurut lompat
senile	pikun
senior	antik
senior citizen	warga lanjut usia
sensation	perasaan
sense	indra | arti | bakat | budi | rasa | makna
sensei	sensei
sensible	alim
sensitive	baper | peka
sensitive plant	putri malu
sensitivity	kepekaan | sensitivitas
sensor	sensor
sensual	sensual
sensualism	sensualisme
sentence	kalimat | vonis | menyatakan bersalah | putus | keputusan hukum
sentience	hati nurani
sentient	peka
sentiment	sentimen
sepak takraw	sepak takraw
sepal	kelopak
separate	memisahkan
separated	terpisah
separation of powers	pemisahan kekuasaan
sepoy	sipahi
sepsis	sepsis
septagon	heptagon
septentrional	utara
septic	septik
sepulchral	kematian
sequel	sekuel
sequence	barisan
sequence assembly	perakitan
sequestration	penyitaan | sekuestrasi
serene	tenteram
serenity	ketenteraman
sergeant	sersan
serial killer	pembunuh berantai
series	seri
serin	burung kenari
serious	serius
seriousness	gaya tarik bumi
sermon	khotbah | sermon
serotonin	serotonin
serow	kambing hutan
serpent	ular
serpentwood	pule pandak
serration	gigi
serum	serum
serval	serval
servant	bantu | layan
serve	melayani
server	peladen
service	jawa | layanan | servis | dinas
serviceman	militer
servile	hamba
sesame	wijen | bijan | sesam
session	sesi | sési
sestertius	sestertius
set	himpunan | siap | atur | memperkenalkan | pas | pasang
set about	awal
set aside	mengesampingkan
set back	berharga
set down	meletakkan
set free	membebaskan
set off	memulai | membuat marah
set on fire	membakar
set out	berangkat
set phrase	idiom
set square	penggaris siku
set straight	memperbaiki
set theory	teori himpunan
set up	naik
setback	ganjalan
setting	latar | setelan
settle	membereskan
settlement	permukiman | penyelesaian
setup	pemasang
seven	tujuh
seventeen	tujuh belas | tujuhbelas
seventh	ketujuh
seventies	tahun tujuh puluhan
seventieth	ketujuhpuluh
seventy	tujuh puluh
sever	menetak
several	berbeda
severance	ada
severance pay	uang pesangon
severe	parah
sew	jahit | menjahit
sewage	air limbah
sewer	selokan | got
sewing machine	mesin jahit
sex	seks | jenis kelamin
sex drive	libido
sex hormone	hormon seks
sex kitten	boneka seks
sex organ	abaimana
sex ratio	rasio jenis kelamin
sexism	seksisme
sexology	seksologi
sexual	seksual
sexual assault	serangan seksual
sexual harassment	pelecehan seksual
sexual intercourse	hubungan seksual
sexual majority	usia dewasa
sexual orientation	orientasi seksual
sexuality	seks | seksualitas
sexually transmitted disease	penyakit menular seksual
sexy	seksi
señorita	nona
shabby	aus
shack	gubuk
shackle	belenggu
shadda	tasydid
shade	bayangan
shadoof	bangau
shadow	bayangan
shadow government	pemerintah bayangan
shadow play	wayang
shadowy	gelap
shady	gelap
shaft	entot
shag	bercinta
shah	syah
shahada	syahadat
shahanshah	raja segala raja
shaheed	syahid
shake	kocok | guncang
shake hands	berjabat tangan | bersalaman
shake up	kocok
shale	menggiling
shall	berhutang
shallot	bawang merah
shallow	dangkal | dangkalan
shallow-fry	goreng dangkal
shalwar	salwar
sham	kecoh
shaman	dukun
shambles	rumah jagal
shame	malu
shameless	tak tahu malu
shampoo	sampo
shampoo ginger	lempuyang
shandy	sampo
shank	sengkel
shantytown	kawasan kumuh
shanzhai	pembajakan
shape	bentuk
shard	meledos
share	saham
share dilution	dilusi
sharecropper	pemaruh
shared taxi	angdes | angkot | angkudes | angkutan desa | angkutan kota | mikrolet
shareholder	pemegang saham
shari'a	syariat
shark	hiu
sharp	tajam
sharpen	mengasah
sharpness	mata
sharpshooter	penembak jitu
shatter	jarum
shave	bercukur | cukur
shaved ice	es serut
shaver	alat cukur | pencukur
shawl	syal
she	dia | ia
she-	dia-
she-bear	beruang
she-cat	kucing
she-goat	kambing
shea butter	mentega shea
sheaf	berkas
shear	memotong
shears	gunting
sheat	lele
sheatfish	lele | patin
sheathe	menyarungkan
shed	menuangkan
sheen	bersinar
sheep	domba | biri-biri | pemalu
sheep milk	susu domba
sheeple	pemalu
sheer	tipis
sheet	kertas
sheet metal	mieno
sheet music	partitur
sheet of paper	kertas
sheik	syekh
shekel	syikal
shelduck	umukia merah
shelf	rak
shelf life	umur simpan
shell	cangkang | kerang | sayap keras | sisik | tempurung | selongsong
shell out	berbaris
shellfish	kerang
shelling	pemberodongan
shelter	penampungan | penaungan | tempat perlindungan
shenanigans	keonaran
shepherd	gembala
sherbet	sorbet
sherry	sherry
shia	syi'ah
shibboleth	kata
shield	tameng | melindungi | pelindung
shift	geser
shiftwork	sif
shifty	irus
shiitake	jamur hioko | shiitake | shitake
shill	meliput
shim	baji
shin	betis depan | tulang kering
shin splint	bidai tulang kering
shinbone	tulang kering | tibia
shine	bersinar | menyinari
shingle	sirap
shingles	cacar api | cacar ular | herpes zoster | sinanaga
shining	termashur
shiny	pandai sekali
ship	kapal
shipgirl	gadis kapal
shipping	angkut
shipshape	gaji
shipworm	lelucon
shipyard	galangan
shire	county
shirker	pembolos
shirr	mengernyitkan
shirt	kemeja | baju
shish kebab	sate
shit	tahi | beol | kampret! | murahan | sialan! | berengsek
shit ass	bajingan
shit-for-brains	bebal
shithead	bedebah | brengsek | keparat
shits	mencret
shitter	vas
shitting	iblis
shiv	pisau
shiver	gemetar
shoal	dangkalan
shock	kejutan | renjatan | syok
shock absorber	peredam kejut
shock wave	gelombang kejut
shoddy	campa
shoe	sepatu
shoe polish	semir sepatu
shoelace	tali sepatu
shoemaker	tukang sepatu
shoeshiner	tukang semir
shoestring	korek api
shofar	shofar
shogi	sogi
shogun	syogun
shogunate	keshogunan
shojo	anak perempuan
shoot	tembak
shoot down	menembak jatuh
shooter	gajah
shooting star	bintang jatuh
shop	toko | kedai
shop assistant	penjual
shop floor	bengkel
shop window	etalase
shophouse	rumah toko
shopkeeper	pedagang
shoplift	curi
shopper	pelanggan
shopping	belanja | barang belanjaan
shopping cart	kacung golf
shopping centre	pusat perbelanjaan
shopping list	daftar belanjaan
shore	pantai | tepi
short	kependekan (dari)
short circuit	hubungan pendek | korsleting | arus pendek | hubung pendek
short film	film pendek
short story	cerita pendek | cerpen
short-lived	pinggiran
short-sightedness	rabun jauh
short-term	jangka pendek
shortcoming	keterbatasan
shortcut	jalan pintas | pintasan
shortening	lemak reroti | mentega putih | pemendekan
shortly	segera
shorts	celana pendek
shot	gotri
shot put	tolak peluru
shotgun	senapan gentel
should	tentang
shoulder	bahu | pundak
shoulder blade	tulang belikat
shout	berteriak
shove	desakan
shove it up your ass	ngentot lu
shovel	pengki
show	lihat | pertunjukan | tunjuk | acara | programa | tampil
show jumping	palang rintang
show up	muncul
show-off	hantu
showcase	mempersembahkan
shower	dus | mandi | gerimis | menyiram
shred	babat
shrew	celurut
shrewd	lihai
shri	seri
shriek	bentak
shrill	tajam
shrimp	udang
shrimp paste	terasi
shrimp plant	udang
shrine	kuil
shrink	memperkecil | menciutkan | mengecil | menciut
shroud	kafan
shrub	belukar
shrug off	mengingkari
shtup	mencium
shuck	menggiling
shudder	gemetar
shuffle	berdenyut
shumai	siomai
shunt	wesel
shunting	wesel
shuriken	syuriken
shut	tutup | bungkam | sumpal
shut down	mematikan
shut up	diam
shutout	bola
shuttlecock	kok
shy	melansir
si	si
sibling	saudara | adik | kakak
sic	begini
sick	sakit
sickle	arit | sabit
sickly	sakit
sickly sweet	kemanisan
sickness	sakitnya
side	sebelah
side dish	lauk
side effect	efek samping
sideburns	cambang
sidekick	akolit
sideline	halaman
sidereal	bintang
sidewalk	trotoar
sideways	halaman
siding	jalur sayap
siege	pengepungan
siege engine	mesin kepung
siemens	siemens
siesta	siesta
sieve	pengayak
sievert	sievert
sift	mengayak
sifter	saringan
sigh	mengeluh
sight	nampak | bidikan | pisir
sightsee	pariwisata
sightseeing	pariwisata
sigil	perusahaan rekaman
sigmoid	sigmoid
sign	menandatangani | tanda
sign language	bahasa isyarat
signal	anggai | isyarat | sinyal | padah | pertanda
signature	tanda tangan | paraf | kuras
signboard	papan tulis
significance	arti
significant	penting
significant figure	angka penting | angka signifikan
significant other	rekan
signify	berniat
signpost	plang
silage	silase
silence	diam!
silence is golden	diam itu emas
silent	sunyi
silent majority	mayoritas diam
silhouette	siluet
silica	silikon dioksida
silicon	silikon | zat pasir
silicone	silikone
silicosis	silikosis
silk	sutra
silkworm	ulat sutra
silly	bodoh | konyol | dungu | tolol
silo	silo
silt	debu | silt
silver	perak
silver medal	medali perak
silverfish	gegat
silviculture	silvikultur
sima	sima
simian	monyet
similar	mirip | serupa
similarity	persamaan
simile	serupa
simit	simit
simple	mudah | sederhana
simple harmonic motion	gerak harmonik sederhana
simple machine	pesawat sederhana
simple past	kala imperfek
simple sentence	kalimat tunggal
simple-minded	sederhana
simplex	simpleks
simply	sendiri
simulate	mencontoh
simulation	lawak
simultaneous	bersamaan
simultaneous interpreting	interpretasi simultan
simultaneously	sambil
sin	dosa
sin bin	balai-balai
since	dari | mulai | sejak | karena | mulai dari | sejak dari
sincere	ikhlas | bersih hati | tulus hati
sincerity	kebenaran
sine	sinus
sinful	bersalah
sing	bernyanyi
singer	penyanyi
singing	menyanyi
single	singel | tembang
single out	memisahkan diri
single-use	habis pakai | sekali pakai
singlet	baju gulat | baju sangkut | kaus kutang | singlet | yukensi
singleton	kartu
singular	tunggal | bentuk tunggal
sinister	beralamat buruk
sink	bak cuci | wastafel
sinker	sekring
sinking fund	dana pelunas | dana pelunasan
sinuous	lunak
sinusitis	sinusitis
sip	menyesap
sir	tuan | ustaz
sire	pejantan | pemacek
siren	sirene
sirloin	has luar
sissy	kepik
sister	kakak perempuan | adik perempuan | saudari | suster | biarawati
sister ship	kapal saudari
sister-in-law	ipar
sisterly	saudara perempuan
sit	duduk
sit down	duduk
sitar	sitar
site	situs | tapak
site map	peta situs
situation	keadaan | situasi
situation comedy	komedi situasi
situational	situasional
six	enam
six of one, half a dozen of the other	dari semak ke belukar | setali tiga uang
sixteen	enam belas
sixth	keenam
sixties	tahun enam puluhan
sixtieth	keenampuluh
sixty	enam puluh
sixty-eight	enam puluh delapan
sixty-four	enam puluh empat
sixty-one	enam puluh satu
sixty-six	enampuluh enam
size	ukuran
ska punk	ska punk
skandha	khandha
skate	sepatu luncur
skateboard	papan luncur
skeg	sirip
skein	untai | kalut
skeletal	kerempeng
skeletal muscle	otot lurik | otot rangka
skeleton	kerangka | rangka | skelet
skepticism	skeptisisme
skerry	kedua
sketch	sketsa
sketchy	dangkal
skewness	kemencengan | kemenjuluran | kepencongan
ski	kaymak
skid	melejit
skid mark	bekas
skid row	kampung ruli
skidding	penyaradan
skier	pemain ski
skiff	sekoci
skiing	main ski
skill	ahli | mampu
skilled	cakap
skillet	penggorengan
skillful	cakap
skim	menepis
skin	kulit
skin and bones	tinggal kulit pembalut tulang
skin cancer	kanker kulit
skin graft	cangkok kulit
skin-deep	datar
skink	kadal
skinning	menguliti
skinny	kurus
skip	lompat
skipjack tuna	cakalang
skipper	kapten
skirt	rok
skitter	berlari cepat
skittish	sipu
skittle	lunas
skoal	mangkok
skull	tengkorak | batok kepala | jumjumah
skull and crossbones	kepala kematian | tengkorak dan tulang silang
skunk	sigung
sky	langit | angkasa
sky blue	biru langit
sky burial	pemakaman langit
skybox	langit
skyline	cakrawala
skyscraper	pencakar langit
skyward	samawi
slab	papan tulis
slack	kerikil
slack off	mengecil
slake	membunuh
